asset,resolved_path,semantic_role,surface,authority,width,height,std,entropy,duplicate,positive_gt_count,hard_negative_gt_count,threshold,ROI,postcondition
stage1,stage1.png,stage,SelectStage,OBSERVATION_ONLY,42,25,79.74,6.36,,0,0,0.85,FULL/DEFAULT,NONE
stage2,stage2.png,stage,SelectStage,OBSERVATION_ONLY,42,25,82.98,6.59,,0,0,0.85,FULL/DEFAULT,NONE
stage3,stage3.png,stage,SelectStage,OBSERVATION_ONLY,42,25,83.59,6.55,,0,0,0.85,FULL/DEFAULT,NONE
stage4,stage4.png,stage,SelectStage,OBSERVATION_ONLY,42,25,89.97,6.32,,0,0,0.85,FULL/DEFAULT,NONE
toHero,toHero.png,stage,SelectStage,OBSERVATION_ONLY,87,20,54.6,6.52,,0,0,0.85,FULL/DEFAULT,NONE
HeroChallenge,HeroChallenge.png,stage,SelectStage,OBSERVATION_ONLY,84,23,94.58,6.97,,0,0,0.85,FULL/DEFAULT,NONE
card_hide,card_hide.png,card_panel,CloseCardPanel,ACTION_AUTHORITY,94,26,73.1,7.52,DUP(2):bond_hide_btn.png,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
hide,hide.png,card_panel,CloseCardPanel,ACTION_AUTHORITY,86,26,85.13,7.35,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
cardRefresh,cardRefresh.png,card_panel,CloseCardPanel,ACTION_AUTHORITY,53,26,82.68,7.02,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
heroRefresh,heroRefresh.png,card_panel,CloseCardPanel,ACTION_AUTHORITY,47,13,46.39,7.16,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
skill_hide,skill_hide.png,skill_panel,CloseSkillPanel,ACTION_AUTHORITY,82,25,80.05,7.55,,0,0,0.85,FULL/DEFAULT,MUTATION_OR_DISAPPEAR
